,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
42,@CNN,Fri Aug 17 18:34:45 +0000 2018,"Nearly 6 in 10 Americans say President Trump has been too friendly toward Russia, according to a new CNN poll… https://t.co/r4LEMe5Gsv",0.4939,0.0,0.849,0.151
43,@CNN,Fri Aug 17 18:20:48 +0000 2018,"New York University will offer a scholarship that covers tuition to every new, current and future medical student… https://t.co/YKF2rb6pJj",0.0,0.0,1.0,0.0
44,@CNN,Fri Aug 17 18:06:47 +0000 2018,Summer's top 10 essential cocktails — and where to sip them https://t.co/lBXrYR17FY https://t.co/0LA8OwXqTO,0.2023,0.0,0.859,0.141
45,@CNN,Fri Aug 17 17:54:45 +0000 2018,"While it's heartwarming to see teachers support each other, donating sick days is a symptom of an inhumane, utterly… https://t.co/N5CXRNkgCp",0.3612,0.131,0.637,0.231
46,@CNN,Fri Aug 17 17:42:06 +0000 2018,"As part of a rebranding effort of sorts, the Church of Jesus Christ of Latter-day Saints no longer wants its member… https://t.co/j53Tstszdk",-0.296,0.099,0.901,0.0
47,@CNN,Fri Aug 17 17:31:23 +0000 2018,"""My kids are my life,"" said Chris Watts, a day before he was arrested in connection with the killing of his pregnan… https://t.co/VU8xEvOkmD",-0.8176,0.273,0.727,0.0
48,@CNN,Fri Aug 17 17:17:24 +0000 2018,How Aretha Franklin blew open the doors of the Rock &amp; Roll Hall of Fame for black women https://t.co/6sMUiBHwtW https://t.co/0ykB2OVJqH,0.4404,0.0,0.868,0.132
49,@CNN,Fri Aug 17 17:05:55 +0000 2018,A record number of women are running in congressional races this year. How many can win? https://t.co/QIduOc8XE2,0.6249,0.0,0.733,0.267
50,@CNN,Fri Aug 17 16:55:23 +0000 2018,Tesla's stock tumbled after CEO Elon Musk said he's working himself to the bone and relies on Ambien to sleep… https://t.co/DL6vnd5B8g,0.0,0.0,1.0,0.0
51,@CNN,Fri Aug 17 16:43:59 +0000 2018,China will become the first nation in the world to explore the dark side of the moon. Here's the rover it'll send:… https://t.co/wak3BI35zZ,0.0,0.0,1.0,0.0
52,@CNN,Fri Aug 17 16:28:56 +0000 2018,"This job market is so good, candidates aren't even showing up for interviews https://t.co/wE1v3fPFF9",0.5777,0.0,0.777,0.223
53,@CNN,Fri Aug 17 16:17:12 +0000 2018,"The sea turned red with blood after whale hunt in Faroe Islands. The hunts, which are legal and closely regulated b… https://t.co/uuAFGBI7Lr",0.128,0.0,0.933,0.067
54,@CNN,Fri Aug 17 16:06:01 +0000 2018,"There have been 78 cases of Ebola reported in the current outbreak in the Democratic Republic of Congo, including 4… https://t.co/fLK2hSGW3P",0.0,0.0,1.0,0.0
55,@CNN,Fri Aug 17 15:53:31 +0000 2018,An 87-year-old grandmother using a knife to cut dandelions in the woods near her rural Georgia home last week was t… https://t.co/qgVkMLjjof,-0.2732,0.095,0.905,0.0
56,@CNN,Fri Aug 17 15:42:30 +0000 2018,Janet Jackson released her first new music in three years https://t.co/w7oamEO7Nn https://t.co/NgYOM7uhT0,0.0,0.0,1.0,0.0
57,@CNN,Fri Aug 17 15:32:27 +0000 2018,"Aretha Franklin's ""Respect"" was no coquettish plea—it was a warning shot by a strong black woman demanding better t… https://t.co/BvbkhwRknB",0.1779,0.253,0.506,0.241
58,@CNN,Fri Aug 17 15:21:18 +0000 2018,"By canceling the military parade, Trump's using a scapegoat he knows will work with his base—bad local government i… https://t.co/B8ypn1x4eg",-0.4019,0.13,0.87,0.0
59,@CNN,Fri Aug 17 15:08:16 +0000 2018,"The Wall Street Journal fired back at Rachel Maddow after she said the newspaper ""tried to bury"" a story detailing… https://t.co/hmEpEduslA",-0.5574,0.159,0.841,0.0
60,@CNN,Fri Aug 17 14:54:38 +0000 2018,"Proving even bad things must come to an end, the ""Sharknado"" franchise breathes its last—at least for now—with its… https://t.co/Bo4QKbuBlW",-0.5423,0.156,0.844,0.0
61,@CNN,Fri Aug 17 14:42:57 +0000 2018,"Florida's toxic algae has killed fish, turtles, manatees and even a whale shark. And it's a health risk for humans,… https://t.co/JLOpKJjtDi",-0.765,0.28,0.72,0.0
62,@CNN,Fri Aug 17 14:35:00 +0000 2018,Watch Aretha Franklin perform the hits that made her a star https://t.co/Q3zTV3r8Cx https://t.co/z6hm0d0ypz,0.0,0.0,1.0,0.0
63,@CNN,Fri Aug 17 14:30:51 +0000 2018,Anti-Semitism in Britain is so bad that some Jews are planning to leave https://t.co/AEatFV4hS5 https://t.co/SvdY5X8PpZ,-0.6899,0.304,0.696,0.0
64,@CNN,Fri Aug 17 14:19:32 +0000 2018,Rand Paul wants Trump to lift US travel sanctions on some Russian lawmakers https://t.co/bbaexKzKlv,0.0,0.0,1.0,0.0
65,@CNN,Fri Aug 17 14:05:27 +0000 2018,"""We are not the enemy; We are the people:"" 16 must-read editorials from newspapers taking a collective stand agains… https://t.co/0JmYB1gi0S",0.431,0.0,0.863,0.137
66,@CNN,Fri Aug 17 13:52:47 +0000 2018,"""Every time she sang, we were all graced with a glimpse of the divine""

Read the Obamas' statement on the death of… https://t.co/lv8YMsf39j",0.1531,0.137,0.669,0.194
67,@CNN,Fri Aug 17 13:45:00 +0000 2018,"Choking back tears, CNN's Don Lemon remembers the life of Aretha Franklin:

""This is very personal for me, as you c… https://t.co/GIVst8o9Xv",-0.5994,0.197,0.803,0.0
68,@CNN,Fri Aug 17 13:42:26 +0000 2018,President Trump is directing the SEC to consider dropping quarterly earnings reports for public companies in favor… https://t.co/ZFU6oFLAIX,0.0,0.0,1.0,0.0
69,@CNN,Fri Aug 17 13:32:11 +0000 2018,"Extreme weather is expected to weigh on economic growth, but almost no mainstream economic forecasting model takes… https://t.co/gHxAJuzYWv",-0.1432,0.117,0.794,0.089
70,@CNN,Fri Aug 17 13:21:53 +0000 2018,The Department of Education has opened an investigation into the Ohio State University's handling of allegations of… https://t.co/w9bu1dWmD2,0.0,0.0,1.0,0.0
71,@CNN,Fri Aug 17 13:19:18 +0000 2018,"Escape from the Mayo Clinic: How CNN reported the story
 https://t.co/62m9q5TEBM https://t.co/EBXZo9Jwmd",0.1779,0.0,0.866,0.134
72,@CNN,Fri Aug 17 13:10:59 +0000 2018,"President Trump says he canceled a military parade planned for Veterans Day weekend because of its ""ridiculously hi… https://t.co/n7a7grErpl",-0.34,0.124,0.876,0.0
73,@CNN,Fri Aug 17 13:00:22 +0000 2018,Nigerian teens win Silicon Valley contest for app that spots fake drugs https://t.co/MHqVDe3h6v https://t.co/DldcOfONIU,0.1779,0.164,0.635,0.201
74,@CNN,Fri Aug 17 12:48:07 +0000 2018,"A low-carb or high-carb diet raises your risk of death, a new study suggests https://t.co/zHcr0c3X1f",-0.7184,0.353,0.647,0.0
75,@CNN,Fri Aug 17 12:36:21 +0000 2018,The University System of Maryland board of regents is meeting to discuss how campus officials handled the death of… https://t.co/nFHWaGLOls,-0.5994,0.17,0.83,0.0
76,@CNN,Fri Aug 17 12:24:36 +0000 2018,A dozen former senior intelligence officials are denouncing President Trump's decision to revoke former CIA Directo… https://t.co/cVzotrrGvS,0.4767,0.0,0.829,0.171
77,@CNN,Fri Aug 17 12:12:17 +0000 2018,"Google sought to reassure employees who are worried the company might compromise its values to get into China, foll… https://t.co/jOtBE1c7tu",0.4404,0.091,0.7,0.21
78,@CNN,Fri Aug 17 11:59:55 +0000 2018,Why does alcohol give you the munchies? https://t.co/botNKOOBsQ https://t.co/uFS9mbj5x1,0.0,0.0,1.0,0.0
79,@CNN,Fri Aug 17 11:48:36 +0000 2018,"A Massachusetts man has been indicted on 52 charges and is accused of raping, kidnapping and killing three women wh… https://t.co/X6RZtBmoMH",-0.926,0.458,0.542,0.0
80,@CNN,Fri Aug 17 11:37:04 +0000 2018,Nearly 24 hours before Chris Watts was arrested in the disappearance of his pregnant wife and young daughters in Co… https://t.co/qazd6B1DB6,-0.4767,0.134,0.866,0.0
81,@CNN,Fri Aug 17 11:25:48 +0000 2018,Why it's now cheaper than ever to fly across the Atlantic https://t.co/LdZmRkv4Gj https://t.co/FB0acaeDYi,0.0,0.0,1.0,0.0
82,@CNN,Fri Aug 17 11:14:44 +0000 2018,"Malaysia has repealed a controversial anti-fake-news law, which was widely condemned for stifling free speech since… https://t.co/mumC0I8KEA",-0.1027,0.224,0.619,0.157
83,@CNN,Fri Aug 17 11:04:02 +0000 2018,This is how China controls its currency https://t.co/VjvbUJL0Ge https://t.co/mSL22CbV7z,0.0,0.0,1.0,0.0
84,@CNN,Fri Aug 17 10:54:02 +0000 2018,9 ski resorts to enjoy in summer https://t.co/Q2QjMPbYZM https://t.co/v9BhjXvaaW,0.4939,0.0,0.686,0.314
